,usd_low,usd_high,usd_open,usd_open,usd_open,block_num,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks
,min,max,median,mean,first,,total,total,total,min,min,min,max,max,max,mean,mean,mean,median,median,median
week,,,,,,,,,,,,,,,,,,,,,
2023-06-05/2023-06-11,1719.63,1911.87,1841.54,1837.2385714285713,1903.7,17453186.0,2290468.0,7481175.0,49607.0,389170.0,977137.0,7070.0,542091.0,1171476.0,7104.0,468308.71428571426,1068739.2857142857,7086.714285714285,449869.0,1064917.0,7088.0
2023-06-12/2023-06-18,1623.44,1771.6,1728.19,1715.067142857143,1770.53,17502962.0,2169383.0,6992625.0,49789.0,392660.0,928299.0,7096.0,490722.0,1112439.0,7139.0,437706.0,998946.4285714285,7112.714285714285,431124.0,962794.0,7109.0
2023-06-19/2023-06-25,1704.83,1933.0,1877.52,1828.31,1729.88,17552799.0,2016103.0,6963626.0,49786.0,363878.0,888427.0,7106.0,443056.0,1052690.0,7125.0,410919.85714285716,994803.7142857143,7112.285714285715,410393.0,1020626.0,7109.0
2023-06-26/2023-07-02,1823.99,1945.61,1891.64,1881.26,1893.59,17602620.0,1950779.0,7089018.0,49833.0,362882.0,900819.0,7095.0,444355.0,1100196.0,7142.0,407336.14285714284,1012716.8571428572,7119.0,407709.0,1032039.0,7123.0
2023-07-03/2023-07-09,1827.29,1974.98,1910.07,1903.7871428571427,1918.46,17652460.0,1666686.0,6489016.0,49807.0,294604.0,744073.0,7109.0,406368.0,1026200.0,7133.0,352134.85714285716,927002.2857142857,7115.285714285715,356306.0,932250.0,7113.0
2023-07-10/2023-07-16,1848.85,2027.41,1891.95,1905.5485714285714,1869.18,17702170.0,1966960.0,7099420.0,49683.0,343453.0,918690.0,7053.0,454143.0,1080016.0,7113.0,407325.14285714284,1014202.8571428572,7097.571428571428,416753.0,1031090.0,7104.0
2023-07-17/2023-07-23,1854.01,1937.62,1894.77,1897.4742857142858,1929.02,17752102.0,1848745.0,7257026.0,49964.0,353892.0,950079.0,7126.0,446433.0,1149593.0,7148.0,389727.85714285716,1036718.0,7137.714285714285,376670.0,1022119.0,7139.0
2023-07-24/2023-07-30,1832.51,1893.42,1876.17,1872.3742857142859,1892.0,17802131.0,1704393.0,6828099.0,50018.0,346990.0,947321.0,7139.0,380498.0,1010932.0,7153.0,367780.14285714284,975442.7142857143,7145.428571428572,371114.0,971102.0,7146.0
2023-07-31/2023-08-06,1813.84,1878.88,1842.46,1843.2871428571427,1864.68,17852208.0,1865006.0,7095284.0,50059.0,351436.0,941951.0,7135.0,439251.0,1040470.0,7160.0,391934.4285714286,1013612.0,7151.285714285715,381932.0,1022301.0,7154.0
2023-08-07/2023-08-13,1803.02,1873.65,1846.59,1844.2371428571428,1829.41,17902217.0,1789178.0,6991423.0,50009.0,348336.0,901087.0,7139.0,428982.0,1055846.0,7157.0,382592.5714285714,998774.7142857143,7144.142857142857,381253.0,1011461.0,7142.0
2023-08-14/2023-08-20,1558.8,1853.69,1807.93,1768.0142857142855,1853.18,17952252.0,1878362.0,7102759.0,50003.0,364185.0,921515.0,7136.0,438521.0,1058040.0,7150.0,397855.4285714286,1014679.8571428572,7143.285714285715,392903.0,1033111.0,7142.0
2023-08-21/2023-08-27,1590.61,1696.98,1649.25,1660.0628571428572,1688.98,18002285.0,1763706.0,6882545.0,50014.0,361796.0,882469.0,7139.0,411248.0,1017451.0,7156.0,378581.71428571426,983220.7142857143,7144.857142857143,374190.0,1000358.0,7142.0
2023-08-28/2023-09-03,1603.23,1747.2,1648.08,1662.985714285714,1653.31,18052254.0,1988482.0,6945482.0,49961.0,340208.0,970369.0,7122.0,470314.0,1014749.0,7145.0,403860.71428571426,992211.7142857143,7137.285714285715,399506.0,993967.0,7139.0
2023-09-04/2023-09-10,1603.89,1657.78,1633.73,1633.8385714285716,1642.73,18102263.0,1762799.0,6653177.0,49989.0,331068.0,842817.0,7131.0,417096.0,1027357.0,7158.0,372309.71428571426,950453.8571428572,7141.285714285715,381585.0,969407.0,7138.0
2023-09-11/2023-09-17,1532.0,1651.97,1618.62,1606.5042857142857,1618.62,18152100.0,2726912.0,7449088.0,49733.0,348152.0,856379.0,7041.0,1089841.0,1605732.0,7143.0,507538.5714285714,1064155.4285714286,7104.714285714285,426385.0,996595.0,7119.0
2023-09-18/2023-09-24,1568.91,1669.01,1616.4,1613.3028571428572,1616.4,18201951.0,1955190.0,6660560.0,49934.0,350425.0,840369.0,7112.0,531984.0,1103563.0,7148.0,397955.14285714284,951508.5714285715,7133.428571428572,388150.0,951105.0,7136.0
2023-09-25/2023-10-01,1564.11,1693.43,1594.32,1623.14,1590.66,18251965.0,1873257.0,6833292.0,50019.0,354580.0,895639.0,7134.0,410738.0,1016463.0,7158.0,390611.5714285714,976184.5714285715,7145.571428571428,400222.0,991854.0,7146.0
2023-10-02/2023-10-08,1609.9,1756.0,1647.08,1648.3528571428571,1674.25,18302049.0,1831264.0,6659247.0,50059.0,352281.0,895816.0,7144.0,402227.0,985933.0,7165.0,377422.4285714286,951321.0,7151.285714285715,374949.0,959081.0,7148.0
2023-10-09/2023-10-15,1523.01,1638.99,1560.05,1569.8242857142857,1637.22,18352059.0,1831459.0,6609580.0,49993.0,342897.0,863736.0,7131.0,395825.0,974307.0,7150.0,375093.28571428574,944225.7142857143,7141.857142857143,377046.0,965765.0,7141.0
2023-10-16/2023-10-22,1543.59,1647.63,1566.67,1582.1771428571426,1564.35,18402122.0,1801159.0,6876674.0,50045.0,359447.0,944165.0,7142.0,418010.0,1058568.0,7166.0,378358.71428571426,982382.0,7149.285714285715,372422.0,975165.0,7146.0
2023-10-23/2023-10-29,1635.07,1865.21,1779.42,1752.6442857142858,1640.72,18452128.0,1796266.0,7169988.0,49995.0,363232.0,962397.0,7126.0,412897.0,1066135.0,7156.0,386734.85714285716,1024284.0,7142.142857142857,391457.0,1029987.0,7141.0
2023-10-30/2023-11-05,1779.22,1912.5,1814.6,1820.6785714285713,1797.52,18502099.0,1773145.0,7199499.0,49939.0,356986.0,966444.0,7127.0,395354.0,1071764.0,7147.0,382164.4285714286,1028499.8571428572,7134.142857142857,392941.0,1038677.0,7135.0
2023-11-06/2023-11-12,1851.63,2135.7,1893.36,1962.7514285714285,1869.11,18552123.0,1857019.0,7358187.0,50003.0,373113.0,1001543.0,7133.0,442238.0,1115896.0,7151.0,399423.14285714284,1051169.5714285714,7143.285714285715,390677.0,1033675.0,7147.0
2023-11-13/2023-11-19,1908.39,2116.6,1981.95,2001.9585714285715,2060.08,18602145.0,1723930.0,7171792.0,49996.0,362566.0,954219.0,7109.0,395933.0,1059606.0,7156.0,375080.4285714286,1024541.7142857143,7142.285714285715,366371.0,1030557.0,7147.0
2023-11-20/2023-11-26,1932.5,2130.8,2068.61,2045.4057142857146,1984.58,18652140.0,1874875.0,7363608.0,49953.0,364408.0,956356.0,7127.0,429161.0,1115687.0,7145.0,403017.85714285716,1051944.0,7136.142857142857,412976.0,1091225.0,7138.0
2023-11-27/2023-12-03,1987.31,2184.15,2054.47,2068.4857142857145,2074.18,18702159.0,1779430.0,7393057.0,49985.0,374202.0,999415.0,7128.0,408673.0,1106280.0,7149.0,389365.14285714284,1056151.0,7140.714285714285,387979.0,1059762.0,7143.0
2023-12-04/2023-12-10,2183.85,2401.7,2273.53,2290.2628571428572,2183.85,18752098.0,2101591.0,7740297.0,49940.0,425515.0,1058656.0,7121.0,468299.0,1140472.0,7149.0,441810.0,1105756.7142857143,7134.285714285715,444058.0,1119636.0,7132.0
2023-12-11/2023-12-17,2147.03,2366.17,2245.4,2255.117142857143,2361.34,18802046.0,1861427.0,7352288.0,49886.0,383526.0,1006995.0,7101.0,428119.0,1112591.0,7142.0,406929.14285714284,1050326.857142857,7126.571428571428,409819.0,1034403.0,7129.0
2023-12-18/2023-12-24,2118.09,2342.18,2236.51,2239.1642857142856,2236.51,18851936.0,2176742.0,7937359.0,49856.0,419972.0,1077799.0,7109.0,510439.0,1210152.0,7140.0,466978.28571428574,1133908.4285714286,7122.285714285715,449634.0,1117971.0,7124.0
2023-12-25/2023-12-31,2180.66,2445.0,2286.18,2295.2942857142857,2278.96,18901758.0,2191382.0,7485837.0,49817.0,419405.0,1012762.0,7101.0,492258.0,1150115.0,7139.0,444903.85714285716,1069405.2857142857,7116.714285714285,441279.0,1071209.0,7108.0
2024-01-01/2024-01-07,2106.8,2430.92,2274.61,2282.35,2282.63,18951539.0,2193216.0,7259726.0,49669.0,408702.0,945697.0,7043.0,483801.0,1089887.0,7124.0,441762.0,1037103.7142857143,7095.571428571428,427213.0,1052165.0,7101.0
2024-01-08/2024-01-14,2170.02,2715.0,2522.56,2446.9585714285713,2240.53,19001407.0,2301144.0,7722099.0,49878.0,334672.0,1031112.0,7077.0,580902.0,1217746.0,7154.0,466879.85714285716,1103157.0,7125.428571428572,439168.0,1064874.0,7134.0
2024-01-15/2024-01-21,2415.0,2613.78,2520.59,2511.6899999999996,2525.92,19051515.0,2078158.0,7502600.0,49995.0,409544.0,1019415.0,7067.0,461962.0,1140682.0,7164.0,433940.0,1071800.0,7142.142857142857,433476.0,1065491.0,7151.0
2024-01-22/2024-01-28,2166.02,2472.27,2259.02,2280.505714285714,2472.27,19101334.0,2321562.0,7621126.0,49864.0,427930.0,1035449.0,7082.0,523091.0,1142232.0,7138.0,470116.4285714286,1088732.2857142857,7123.428571428572,482773.0,1091315.0,7133.0
2024-01-29/2024-02-04,2235.46,2389.99,2299.8,2303.8942857142856,2263.14,19151256.0,2200894.0,7555661.0,49875.0,426337.0,1022385.0,7108.0,489911.0,1159540.0,7150.0,457061.71428571426,1079380.142857143,7125.0,452700.0,1075369.0,7125.0
2024-02-05/2024-02-11,2268.42,2538.09,2425.3,2405.3457142857146,2299.53,19201123.0,2093381.0,7311220.0,49856.0,401621.0,986576.0,7115.0,484982.0,1111630.0,7129.0,435734.71428571426,1044460.0,7122.285714285715,436298.0,1049714.0,7122.0
2024-02-12/2024-02-18,2473.24,2867.08,2780.61,2703.2985714285714,2504.34,19250998.0,2242468.0,7498941.0,49827.0,395207.0,954260.0,7092.0,489390.0,1145553.0,7133.0,456598.71428571426,1071277.2857142857,7118.142857142857,471036.0,1068899.0,7125.0
2024-02-19/2024-02-25,2845.0,3116.61,2968.0,2948.994285714286,2845.0,19300884.0,2247078.0,7588631.0,49906.0,432619.0,1046504.0,7103.0,479395.0,1120473.0,7158.0,463593.28571428574,1084090.142857143,7129.428571428572,473304.0,1069887.0,7133.0
2024-02-26/2024-03-03,3039.54,3519.37,3324.13,3294.1057142857144,3109.75,19350920.0,2506619.0,8216881.0,50024.0,506101.0,1149371.0,7132.0,528919.0,1199766.0,7164.0,513340.28571428574,1173840.142857143,7146.285714285715,511366.0,1175846.0,7143.0
2024-03-04/2024-03-10,3235.0,3998.0,3846.5,3733.6342857142854,3478.15,19400982.0,2430537.0,8308744.0,50042.0,465033.0,1128127.0,7083.0,538523.0,1263252.0,7165.0,505617.85714285716,1186963.4285714286,7148.857142857143,510525.0,1186715.0,7159.0
2024-03-11/2024-03-17,3415.07,4090.0,3906.69,3853.2042857142865,3906.69,19450870.0,2774219.0,8614273.0,49833.0,515101.0,1174614.0,7086.0,591316.0,1277864.0,7150.0,553384.0,1230610.4285714286,7119.0,545874.0,1240886.0,7116.0
2024-03-18/2024-03-24,3060.83,3675.0,3462.01,3439.088571428572,3631.69,19500711.0,3083761.0,9004021.0,49817.0,567474.0,1205639.0,7100.0,623911.0,1347022.0,7132.0,599860.4285714285,1286288.7142857143,7116.714285714285,600178.0,1291532.0,7117.0
2024-03-25/2024-03-31,3408.34,3680.32,3510.46,3528.3400000000006,3415.01,19550183.0,2763971.0,8684545.0,49444.0,519166.0,1209824.0,6916.0,576364.0,1269083.0,7116.0,551212.7142857143,1240649.2857142857,7063.428571428572,550660.0,1245876.0,7094.0
2024-04-01/2024-04-07,3206.11,3649.0,3336.12,3391.1771428571424,3632.7,19600114.0,2564448.0,8335492.0,49936.0,485915.0,1155540.0,7116.0,543495.0,1212806.0,7150.0,520090.71428571426,1190784.5714285714,7133.714285714285,513896.0,1201605.0,7139.0
2024-04-08/2024-04-14,2864.54,3726.84,3512.18,3397.6971428571424,3401.95,19650067.0,2519873.0,8275614.0,49946.0,483149.0,1106656.0,7110.0,566998.0,1283853.0,7148.0,512699.85714285716,1182230.5714285714,7135.142857142857,509836.0,1184163.0,7138.0
2024-04-15/2024-04-21,2873.38,3277.62,3068.55,3071.4385714285713,3066.03,19700063.0,2674433.0,8128368.0,49998.0,499011.0,1109610.0,7127.0,553098.0,1219765.0,7156.0,523442.85714285716,1161195.4285714286,7142.571428571428,524361.0,1154393.0,7144.0
2024-04-22/2024-04-28,3071.54,3346.19,3174.34,3175.214285714286,3149.06,19750103.0,2483596.0,7950515.0,50022.0,461828.0,1077396.0,7132.0,512421.0,1165848.0,7156.0,491254.85714285716,1135787.857142857,7146.0,490930.0,1145759.0,7147.0
2024-04-29/2024-05-05,2816.91,3309.77,3113.24,3087.9599999999996,3309.63,19800180.0,2807106.0,8224347.0,50061.0,525782.0,1125994.0,7140.0,566380.0,1232845.0,7164.0,546178.7142857143,1174906.7142857143,7151.571428571428,543863.0,1174374.0,7151.0
2024-05-06/2024-05-12,2883.93,3217.66,3019.99,3006.224285714286,3138.14,19850230.0,2619427.0,7844526.0,50020.0,469252.0,1037219.0,7141.0,531343.0,1200134.0,7149.0,507639.4285714286,1120646.5714285714,7145.714285714285,509602.0,1126645.0,7145.0
2024-05-13/2024-05-19,2864.75,3144.66,2952.39,2990.5799999999995,2921.61,19900268.0,2599612.0,7769010.0,50003.0,442246.0,999296.0,7111.0,545383.0,1181880.0,7167.0,500184.14285714284,1109858.5714285714,7143.285714285715,503271.0,1137726.0,7144.0
2024-05-20/2024-05-26,3050.0,3939.52,3743.41,3614.7671428571425,3074.05,19950330.0,2427407.0,7938927.0,50052.0,456444.0,1095840.0,7140.0,510734.0,1170817.0,7157.0,481520.4285714286,1134132.4285714286,7150.285714285715,469683.0,1131093.0,7153.0
2024-05-27/2024-06-02,3702.01,3973.67,3803.4,3807.5142857142864,3858.86,20000416.0,2150474.0,7776018.0,50073.0,401652.0,1054314.0,7142.0,465668.0,1148946.0,7165.0,441145.4285714286,1110859.7142857143,7153.285714285715,445668.0,1122641.0,7154.0
2024-06-03/2024-06-09,3617.4,3884.41,3784.0,3769.7514285714283,3784.0,20050553.0,2169020.0,7951647.0,50105.0,425165.0,1119576.0,7149.0,464832.0,1157157.0,7167.0,446004.4285714286,1135949.5714285714,7157.857142857143,447900.0,1134512.0,7158.0
2024-06-10/2024-06-16,3364.09,3719.73,3550.59,3549.7799999999997,3698.34,20100627.0,2386712.0,8053744.0,50047.0,459262.0,1086305.0,7133.0,489782.0,1205648.0,7159.0,474447.28571428574,1150534.857142857,7149.571428571428,477562.0,1153501.0,7151.0
2024-06-17/2024-06-23,3372.68,3649.6,3519.74,3522.5085714285715,3595.78,20150677.0,2763539.0,8052162.0,50008.0,449270.0,1073923.0,7133.0,715003.0,1290839.0,7155.0,519137.4285714286,1150308.857142857,7144.0,460978.0,1116378.0,7144.0
2024-06-24/2024-06-30,3244.35,3482.0,3388.0,3391.45,3433.5,20200783.0,2733867.0,8043831.0,50091.0,476392.0,1102711.0,7143.0,575874.0,1222466.0,7165.0,515532.0,1149118.7142857143,7155.857142857143,502722.0,1149668.0,7156.0
2024-07-01/2024-07-07,2828.61,3516.14,3256.94,3247.1157142857146,3417.38,20250914.0,2457900.0,7919886.0,50090.0,426242.0,1007598.0,7146.0,512596.0,1217218.0,7162.0,474111.5714285714,1131412.2857142857,7155.714285714285,465629.0,1126826.0,7158.0
2024-07-08/2024-07-14,2826.31,3224.45,3095.21,3078.6314285714284,2998.32,20301021.0,2484499.0,7910370.0,50084.0,426078.0,1063241.0,7142.0,511298.0,1166940.0,7162.0,475493.71428571426,1130052.857142857,7154.857142857143,473381.0,1127736.0,7156.0
2024-07-15/2024-07-21,3198.63,3540.64,3435.95,3419.161428571428,3200.77,20351186.0,2128089.0,7931703.0,50132.0,410323.0,1087800.0,7155.0,452342.0,1174923.0,7168.0,430771.71428571426,1133100.4285714286,7161.714285714285,430228.0,1132478.0,7161.0
2024-07-22/2024-07-28,3089.67,3562.89,3374.43,3356.3971428571426,3499.01,20401322.0,2196457.0,7651242.0,50113.0,416920.0,1020279.0,7150.0,456101.0,1129478.0,7173.0,435156.5714285714,1093034.5714285714,7159.0,435402.0,1112018.0,7159.0
2024-07-29/2024-08-04,2648.49,3395.0,3220.19,3165.0499999999997,3262.05,20451460.0,2156099.0,7582347.0,50112.0,395635.0,1013343.0,7139.0,468301.0,1142416.0,7172.0,430407.0,1083192.4285714286,7158.857142857143,433592.0,1066396.0,7161.0
2024-08-05/2024-08-11,2133.03,2751.53,2570.67,2542.194285714286,2751.52,20501655.0,2116658.0,7432923.0,50132.0,386469.0,965312.0,7151.0,455028.0,1103870.0,7169.0,414988.85714285716,1061846.142857143,7161.714285714285,408436.0,1073035.0,7162.0
2024-08-12/2024-08-18,2515.09,2776.58,2615.0,2626.4914285714285,2555.12,20551784.0,2404989.0,7656640.0,50109.0,360703.0,983054.0,7145.0,590465.0,1252759.0,7171.0,456182.4285714286,1093805.7142857143,7158.428571428572,416689.0,1062940.0,7159.0
2024-08-19/2024-08-25,2541.07,2820.53,2631.2,2668.191428571429,2666.85,20601892.0,2090413.0,7288836.0,50044.0,378237.0,946975.0,7145.0,464926.0,1097044.0,7154.0,416158.14285714284,1041262.2857142857,7149.142857142857,417915.0,1056391.0,7150.0
2024-08-26/2024-09-01,2407.71,2792.86,2539.94,2592.1271428571426,2772.21,20651994.0,2179848.0,7523453.0,50064.0,395966.0,987253.0,7142.0,461691.0,1127249.0,7161.0,435197.4285714286,1074779.0,7152.0,441309.0,1104678.0,7154.0
2024-09-02/2024-09-08,2151.52,2560.1,2456.47,2397.298571428571,2502.01,20702171.0,2040741.0,7565680.0,50136.0,400378.0,1056455.0,7153.0,445475.0,1097618.0,7172.0,415424.71428571426,1080811.4285714286,7162.285714285715,414167.0,1087301.0,7161.0
2024-09-09/2024-09-15,2274.58,2465.0,2350.82,2361.9171428571426,2275.12,20752288.0,2177771.0,7798045.0,50096.0,430933.0,1057180.0,7145.0,475488.0,1144272.0,7173.0,439648.28571428574,1114006.4285714286,7156.571428571428,433503.0,1130726.0,7155.0
2024-09-16/2024-09-22,2253.85,2570.29,2344.93,2355.112,2364.31,,,,,,,,,,,,,,,,
