,usd_low,usd_high,usd_open,usd_open,usd_open,block_num,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks
,min,max,median,mean,first,,total,total,total,min,min,min,max,max,max,mean,mean,mean,median,median,median
week,,,,,,,,,,,,,,,,,,,,,
2020-08-03/2020-08-09,365.43,407.81,388.46,388.0257142857143,373.32,10622281.0,2049447.0,7562421.0,43716.0,391411.0,1050750.0,6191.0,465238.0,1119492.0,6324.0,440271.5714285714,1080345.857142857,6245.142857142857,447581.0,1070926.0,6242.0
2020-08-10/2020-08-16,367.04,444.35,395.41,405.05000000000007,393.24,10667726.0,1738003.0,7561636.0,43956.0,351396.0,998274.0,6236.0,411563.0,1150139.0,6312.0,390864.4285714286,1080233.7142857143,6279.428571428572,396706.0,1078217.0,6280.0
2020-08-17/2020-08-23,379.28,447.03,416.37,414.2742857142857,430.1,10713177.0,1848619.0,7515143.0,44245.0,376980.0,1005102.0,6233.0,418914.0,1149849.0,6388.0,394938.14285714284,1073591.857142857,6320.714285714285,393976.0,1075846.0,6325.0
2020-08-24/2020-08-30,370.26,427.92,392.67,391.4057142857143,392.67,10758802.0,1724830.0,7221855.0,44301.0,316399.0,1014674.0,6249.0,397882.0,1054550.0,6382.0,371525.85714285716,1031693.5714285715,6328.714285714285,385829.0,1023048.0,6330.0
2020-08-31/2020-09-06,311.04,488.26,422.97,414.6785714285714,422.97,10804559.0,1517437.0,7302742.0,44548.0,315657.0,950437.0,6289.0,393306.0,1123269.0,6460.0,356496.28571428574,1043248.8571428572,6364.0,351126.0,1052457.0,6356.0
2020-09-07/2020-09-13,323.62,389.77,353.23,357.72857142857146,351.73,10850235.0,1446416.0,6765313.0,44466.0,291041.0,937859.0,6299.0,352816.0,1025738.0,6426.0,321255.5714285714,966473.2857142857,6352.285714285715,316154.0,956409.0,6343.0
2020-09-14/2020-09-20,355.21,394.2,376.32,375.70571428571424,363.0,10895794.0,1634799.0,7363689.0,44527.0,313903.0,941492.0,6281.0,445200.0,1294337.0,6424.0,375239.14285714284,1051955.5714285714,6361.0,379597.0,1001607.0,6381.0
2020-09-21/2020-09-27,314.76,376.31,346.7,348.16428571428565,369.55,10941311.0,1733398.0,6777279.0,44164.0,348418.0,893307.0,6221.0,401728.0,1041013.0,6394.0,371836.28571428574,968182.7142857143,6309.142857142857,367067.0,991643.0,6286.0
2020-09-28/2020-10-04,335.4,369.18,353.21,353.96000000000004,353.21,10986035.0,1640400.0,6653674.0,43791.0,328198.0,882373.0,6236.0,370733.0,1000363.0,6290.0,355840.71428571426,950524.8571428572,6255.857142857143,361277.0,949284.0,6247.0
2020-10-05/2020-10-11,333.02,378.24,351.65,353.06428571428575,351.55,11030851.0,1638766.0,6676225.0,43793.0,328522.0,928916.0,6159.0,374306.0,998686.0,6413.0,353951.28571428574,953746.4285714285,6256.142857142857,352659.0,951342.0,6231.0
2020-10-12/2020-10-18,362.72,395.27,376.75,376.03999999999996,373.27,11076577.0,2096566.0,7153468.0,44589.0,367222.0,916634.0,6295.0,533453.0,1157218.0,6442.0,426592.85714285716,1021924.0,6369.857142857143,405901.0,1006670.0,6371.0
2020-10-19/2020-10-25,367.06,421.08,395.17,393.9985714285714,375.92,11122233.0,1913984.0,7083062.0,44714.0,350560.0,888205.0,6336.0,452569.0,1097328.0,6462.0,405063.71428571426,1011866.0,6387.714285714285,396321.0,1029329.0,6382.0
2020-10-26/2020-11-01,374.06,411.28,389.06,393.0728571428572,407.8,11167817.0,1800879.0,7071814.0,44685.0,377249.0,969750.0,6346.0,411087.0,1052464.0,6420.0,391494.4285714286,1010259.1428571428,6383.571428571428,386241.0,1009939.0,6375.0
2020-11-02/2020-11-08,371.02,468.14,401.79,409.04857142857145,397.44,11213400.0,2050523.0,7237613.0,44662.0,396993.0,940907.0,6347.0,465854.0,1082009.0,6407.0,429927.71428571426,1033944.7142857143,6380.285714285715,426575.0,1048896.0,6386.0
2020-11-09/2020-11-15,434.8,478.38,460.06,458.9542857142857,450.2,11259013.0,1968530.0,7130560.0,44729.0,385028.0,968463.0,6329.0,431720.0,1065089.0,6409.0,417508.0,1018651.4285714285,6389.857142857143,425017.0,1008580.0,6404.0
2020-11-16/2020-11-22,440.5,576.15,474.59,483.6457142857143,444.01,11304643.0,2059238.0,7395952.0,44632.0,416546.0,1019874.0,6306.0,464411.0,1085279.0,6483.0,437689.4285714286,1056564.5714285714,6376.0,436873.0,1067247.0,6358.0
2020-11-23/2020-11-29,481.32,622.72,572.66,561.6257142857143,572.66,11350188.0,2167029.0,7257892.0,44557.0,408256.0,914224.0,6294.0,477823.0,1133965.0,6463.0,445794.0,1036841.7142857143,6365.285714285715,446429.0,1064477.0,6371.0
2020-11-30/2020-12-06,561.52,636.31,596.105,593.7383333333333,568.4,11395733.0,1913268.0,7193388.0,44601.0,376852.0,971069.0,6299.0,438026.0,1087413.0,6439.0,410054.14285714284,1027626.8571428572,6371.571428571428,410096.0,1035879.0,6377.0
